month,query_id,locale,query,google_rank_or_result,google_cited_url,chatgpt_mentioned,chatgpt_cited_url,perplexity_mentioned,perplexity_cited_url,notes
,Q01,ko,E-9 E-7 차이,,,,,,,,
,Q02,ko,외국인력 채용 전 체크리스트,,,,,,,,
,Q03,ko,E-9 고용허가 사업주 절차,,,,,,,,
,Q04,ko,일본 특정기능 네팔 인재 채용,,,,,,,,
,Q05,ko,특정기능 개호 수용기관 지원 의무,,,,,,,,
,Q06,ko,특정기능 숙박 분야 채용 요건,,,,,,,,
,Q07,en,E-9 vs E-7 Korea employer,,,,,,,,
,Q08,en,foreign worker hiring checklist Korea,,,,,,,,
,Q09,en,Japan SSW hiring Nepali workers,,,,,,,,
,Q10,en,SSW nursing care employer support duties,,,,,,,,
,Q11,ja,E-9 E-7 違い 韓国 採用,,,,,,,,
,Q12,ja,特定技能 ネパール 人材 採用 手順,,,,,,,,
,Q13,ja,特定技能 介護 受入れ 支援 義務,,,,,,,,
,Q14,ja,特定技能 宿泊 採用 要件,,,,,,,,
,Q15,ne,जापान SSW नेपाली कामदार भर्ती प्रक्रिया,,,,,,,,
,Q16,ne,E-9 E-7 फरक कोरिया,,,,,,,,
,Q17,vi,so sánh E-9 E-7 Hàn Quốc,,,,,,,,
,Q18,vi,SSW điều dưỡng nghĩa vụ hỗ trợ,,,,,,,,
,Q19,lo,E-9 E-7 ເກົາຫຼີ,,,,,,,,
,Q20,lo,SSW ທີ່ພັກ ຍີ່ປຸ່ນ,,,,,,,,
