번호,법인·시설,근무지역,상담 초점,공고번호,소개기한,모집인원,공고 월급,특정기능 채용근거,일본어,자격·경력,주거,실제 연락방식,실제 수신처,담당,전화,연락처 출처,할로워크 공고,발송상태,발송일,발신·회신주소,회신상태,추가 확인
1,社会福祉法人 博光福祉会（寿里苑グループ）,오사카시·사카이시·마쓰바라시·오사카사야마시·돈다바야시시·가와치나가노시,1차 문의,27160-04506361,2026-10-31,2,"206,000円〜208,000円",특정기능1호를 대상으로 모집하며 요건 미충족자도 채용 담당자에게 별도 문의하도록 안내.,JLPT N4 이상 또는 JFT-Basic 합격(공고의 시험 경로 기준),개호 기능·개호 일본어 시험 합격 또는 개호 기능실습 수료 등 공고 요건 확인. 교육 중인 후보자는 사전 상담부터 가능 여부 문의.,単身用あり,이메일,julien_saiyou@julien.or.jp,法人本部 人事課 北川・原田,0721-56-7000,https://julien-blog.com/julienfeliz202410/,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2716004506361&kJKbn=1&jGSHNo=%2FzF9hc9TM6bEcwG6a1U3uQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,이메일 발송 완료・From/To 검증,2026-09-18,lee_js@jeongwoohrd.com,회신 대기,"9월 25일 13–17시 현장 면접회는 예약·할로워크 소개장 필요. 해외 온라인 면접과 별도 선발 일정은 미확인. 단신용 주거 제공, 비용·공실은 확인 필요."
2,社会福祉法人 和泉福祉会／ひかりの園,이즈미시,1차 문의,27110-05100461,2026-09-30,2,"238,750円〜258,750円",특정기능 외국인을 적극적으로 수용한다고 명시.,공고에 일본어 등급 미기재,개호 자격·경험 우대. 개호복지사 자격 없는 사람도 상담 가능하다고 안내.,なし,이메일,info@izumi-fukushikai.com,園長 山抱,0725-92-1225,https://izumi-fukushikai.com/hikari/,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2711005100461&kJKbn=1&jGSHNo=xDpwMdBwivk9E79bNpzGFA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,이메일 발송 완료・From/To 검증,2026-09-18,lee_js@jeongwoohrd.com,회신 대기,단신용 주거 없음. 월 표시액은 상여의 월 분할액 포함. 공고의 야간수당 포함 예시에는 산술 차이가 있어 계약 조건 재확인 필요.
3,医療法人 医誠会／医誠会国際総合病院,오사카시 기타구,1차 문의・N3 후보,27020-55854261,2026-11-30,10,"234,000円〜249,000円",특정기능 개호 대응 명시. 병원 내 해당 자격 직원 약 70명 재직으로 기재.,N3 이상,개호 업무 경험 우대. 병원 케어스태프 10명 모집.,なし,이메일,kaigo-iseikai@holonicsystem.com,ケアスタッフ採用担当,06-6312-2151,https://www.holonicsystem.com/recruit/group/contact.html,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2702055854261&kJKbn=1&jGSHNo=%2BOUWkOuASvRxBFy4M%2B4QkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,이메일 발송 완료・From/To 검증,2026-09-18,lee_js@jeongwoohrd.com,회신 대기,단신용 주거 없음. 공고 월급에 상여 월 분할액 포함. 서류 심사 후 면접. 해외 신규 입국 채용과 온라인 면접은 별도 확인.
4,医療法人 守田会／いぶきの病院,이즈미시,1차 문의,27110-06736861,2026-11-30,3,"216,700円〜216,700円",특정기능·기능실습 외국인 수용에 적극적이라고 명시.,N3 이상을 우대 항목에 기재; 실제 최소 수준 확인,경험이 없는 사람을 위한 교육 안내. 초임자연수 우대.,なし,이메일,oriono-izumi@comet.ocn.ne.jp,事務長 塔本,0725-50-1181,https://www.moritakai.jp/mail01/mail01.html,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2711006736861&kJKbn=1&jGSHNo=wx5UBRIU2Ej7xVFUCcRIAg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,이메일 발송 완료・From/To 검증,2026-09-18,lee_js@jeongwoohrd.com,회신 대기,단신용 주거 없음. 면접 전에 서류 우송 요청. 해외 후보자의 온라인 서류 접수·면접 가능 여부는 회신으로 확인 필요.
5,ヴェローナケア株式会社／バンビーノふせ,히가시오사카시,1차 문의・배치 업무 확인,27010-30302261,2026-09-30,5,"203,000円〜245,000円",특정기능 개호 소개 가능이라고 명시.,공고에 일본어 등급 미기재,무경험·무자격 가능으로 기재. 이는 별도 체류자격 요건을 면제한다는 뜻은 아님.,なし,이메일,info@v-care.jp,取締役 駒田 泰志,06-6910-3332,https://v-care.jp/tokushoho/,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2701030302261&kJKbn=1&jGSHNo=nGZb0py8gCno1woi9saUPQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,이메일 발송 완료・From/To 검증,2026-09-18,lee_js@jeongwoohrd.com,회신 대기,장애인 그룹홈·거택개호 업무가 함께 기재되어 있어 특정기능으로 배치될 시설·직무를 확인해야 함. 단신용 주거 없음. 공식 법인 이메일로 채용 담당 전달을 요청한다.
6,医療法人 愛信会／介護老人保健施設 愛の里,오사카시 다이쇼구,경험자 대상 문의,27030-24098161,2026-10-31,2,"210,000円〜300,000円",특정기능 개호 근로자 수용 중이라고 명시.,공고에 일본어 등급 미기재,개호 경험 필수. 개호 경험이 있으면 시설개호 경험은 없어도 가능. 자격은 우대.,単身用あり,문의폼,http://ainosato-kaigo.com/contact/,採用担当 丸橋,06-6555-4165,http://ainosato-kaigo.com/recruit/,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703024098161&kJKbn=1&jGSHNo=rlzCRsqybZHEuMCsLZd7eQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,문의폼 접수 완료,2026-09-18,lee_js@jeongwoohrd.com,회신 대기,단신용 주거 있음. 교육만 받은 무경험 학생에게 현재 공고가 적합하다고 단정할 수 없어 별도 신입 채용 가능 여부부터 문의.
7,社会福祉法人 スワンなにわ,오사카시 나니와구,경험자・N3 후보 문의,27030-22800361,2026-09-30,3,"190,000円〜215,000円",특정기능·개호 기능실습 지원자 환영이라고 명시.,N3 이상,데이서비스·데이케어의 입욕·배설 보조 경험 필수. 운전면허는 우대.,なし,이메일,info@swan-naniwa.com,事務局 藤川,06-6562-0456,https://www.wam.go.jp/wamnet/zaihyoukaiji/pub/PUB0201000E00.do?_FORMID=PUB0211100&vo_headVO_corporationId=1627114383,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703022800361&kJKbn=1&jGSHNo=stozvhrM1vqhqUG2rN7Brw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,이메일 발송 완료・From/To 검증,2026-09-18,lee_js@jeongwoohrd.com,회신 대기,선정한 일반 공고에는 주거 없음. 다른 면접회 자료의 기숙사 안내와 조건이 달라 별도 확인 필요. 미경험 학생은 향후·별도 모집 문의.
8,医療法人 恵泉会／堺平成病院,사카이시 나카구,신규 입국 가능 여부 우선 확인,27080-17134061,2026-10-31,2,"243,000円〜263,000円",특정기능 개호 등 취업 가능한 체류자격을 가진 외국인 적극 모집.,N3 정도 필요,투석실 간호보조. 서류·면접·30분 작문 전형.,なし,이메일,soumu@sakaiheisei.jp,総務課 寺尾,072-278-2461,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2708017134061&kJKbn=1&jGSHNo=mobaqLwKXs%2BbWFFv51ATdw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2708017134061&kJKbn=1&jGSHNo=mobaqLwKXs%2BbWFFv51ATdw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,이메일 발송 완료・From/To 검증,2026-09-18,lee_js@jeongwoohrd.com,회신 대기,문구가 이미 체류자격을 가진 사람을 대상으로 하므로 해외 신규 입국도 가능한지 우선 확인. 특정기능 개호 후보자의 담당 업무·배치도 확인. 단신용 주거 없음.
9,社会福祉法人 慶生会／特別養護老人ホーム清揚苑,도요나카시,N2 조건 충족 시 선발·사전 상담 문의,27100-09238061,2026-11-30,1,"243,000円〜290,000円",특정기능 개호 지원 가능이라고 명시.,N2 이상,개호 자격은 우대. 다른 채용처보다 일본어 기준이 높음.,なし,이메일,tomoko_fujiwara@kyouseikai.org,清揚苑 採用担当,06-4866-5951,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2710009238061&kJKbn=1&jGSHNo=NWqyb68Bha3C1iBpCikG%2FA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2710009238061&kJKbn=1&jGSHNo=NWqyb68Bha3C1iBpCikG%2FA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,이메일 발송 완료・From/To 검증,2026-09-18,lee_js@jeongwoohrd.com,회신 대기,후보자별 일본어 수준을 확인한 뒤 N2 조건 충족 시 선발 또는 향후 채용 상담 가능 여부 문의. 단신용 주거 없음.
10,株式会社きせんコミュニケーションズ／ナーシングホームきらら看護の家,도요노군 도요노초,자격·운전면허 조건 확인 후,27100-07059261,2026-09-30,1,"260,000円〜289,000円",공고 제목에 특정기능 가능이라고 명시.,공고에 일본어 등급 미기재,개호직원 초임자연수 수료와 보통 운전면허 필수(AT 한정 가능).,なし,이메일,support@0120141417.com,介護担当 椎葉,072-737-7311,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2710007059261&kJKbn=1&jGSHNo=PIZrHe9f6B5rKkEOtdWufw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2710007059261&kJKbn=1&jGSHNo=PIZrHe9f6B5rKkEOtdWufw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0,이메일 발송 완료・From/To 검증,2026-09-18,lee_js@jeongwoohrd.com,회신 대기,해외 신규 학생은 일본에서 인정되는 자격·운전면허 충족 여부 확인 필요. 다른 시설이나 향후 교육 후 채용 상담 가능 여부를 문의. 단신용 주거 없음.
