문서,문서 URL,출처 번호,출처명,출처 URL
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,1,출입국재류관리청 | 육성취로 제도 Q&A,https://www.moj.go.jp/isa/applications/faq/ikusei_qa_00002.html
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,2,외국인기능실습기구(OTIT) | 기능실습 제도의 이념,https://www.otit.go.jp/system/philosophy/
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,3,출입국재류관리청 | 기능실습 관련 통계·제도 자료 (PDF),https://www.moj.go.jp/isa/content/001451535.pdf
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,4,출입국재류관리청 | 재류외국인 통계 관련 공표 자료,https://www.moj.go.jp/isa/publications/press/13_00062.html
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,5,출입국재류관리청 | 신규 입국자 통계 관련 공표 자료,https://www.moj.go.jp/isa/publications/press/13_00063.html
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,6,후생노동성 | 기능실습·국제협력 관련 안내,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/jinzaikaihatsu/global_cooperation/index.html
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,7,외국인기능실습기구(OTIT) | 송출기관 안내,https://www.otit.go.jp/system/sender/
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,8,출입국재류관리청 | 기능실습계획 관련 자료 (PDF),https://www.moj.go.jp/isa/content/930005219.pdf
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,9,출입국재류관리청 | 재류자격 「기능실습」,https://www.moj.go.jp/isa/applications/status/technicalinterntraining
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,10,출입국재류관리청 | 기능실습 제도 안내 자료 (PDF),https://www.moj.go.jp/isa/content/001385692.pdf
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,11,출입국재류관리청 | 재류자격·신청 절차 안내,https://www.moj.go.jp/isa/applications/
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,12,출입국재류관리청 | 기능실습 2호 수료자 관련 안내,https://www.moj.go.jp/isa/11_00037.html
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,13,출입국재류관리청 | 특정기능 제도 Q&A,https://www.moj.go.jp/isa/policies/ssw/faq.html
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,14,출입국재류관리청 | 특정기능 제도 안내,https://www.moj.go.jp/isa/policies/ssw/nyuukokukanri06_00103.html
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,15,출입국재류관리청 | 재류자격 「기술·인문지식·국제업무」,https://www.moj.go.jp/isa/applications/status/gijinkoku
기능실습 비자란,https://docs.google.com/document/d/1xgDM5uddwQzq-_j06U0wUz5GWMSMvpsnDycTpLxnBYU/edit,16,출입국재류관리청 | 육성취로 제도 관련 자료 (PDF),https://www.moj.go.jp/isa/content/001452485.pdf
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,1,후생노동성 | 개호복지사 수학자금·유학생 지원 관련 자료 (PDF),https://www.mhlw.go.jp/content/12000000/001592637.pdf
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,2,오사카부사회복지협의회 | 2026년도 개호복지사 수학자금 모집요강 (PDF),https://www.osakafusyakyo.or.jp/syuugakushikin/wp-content/uploads/2026/03/06-%E3%80%90%E8%B2%B8%E4%BB%98%E5%B8%8C%E6%9C%9B%E8%80%85%E5%90%91%E3%81%91%E3%80%91%E4%BB%A4%E5%92%8C8%E5%B9%B4%E5%BA%A6%E4%BB%8B%E8%AD%B7%E7%A6%8F%E7%A5%89%E5%A3%AB%E4%BF%AE%E5%AD%A6%E8%B3%87%E9%87%91%E5%8B%9F%E9%9B%86%E8%A6%81%E9%A0%98.pdf
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,3,지바현 | 외국인 개호인재 육성·취업 프로그램,https://www.pref.chiba.lg.jp/kenshidou/jinzai/ryugakusei.html
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,4,출입국재류관리청 | 민간기업 대여형 장학금 관련 안내,https://www.moj.go.jp/isa/applications/resources/nyuukokukanri07_00155.html?lang=xh
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,5,출입국재류관리청 | 유학생 경비지변·장학금 제출자료 안내,https://www.moj.go.jp/isa/publications/materials/nyuukokukanri07_00155.html
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,6,오사카부 | 개호복지사 양성시설 목록,https://www.pref.osaka.lg.jp/o090040/houjin/kaigohukushi/index.html
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,7,후생노동성 | 외국인 유학생 장학금 지원사업 자료 (PDF),https://www.mhlw.go.jp/content/10200000/001646467.pdf
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,8,가나가와현 | 외국인 유학생 지원사업,https://www.pref.kanagawa.jp/docs/n7j/ryugakuseishien.html
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,9,지바현 | 외국인 개호인재 사업 비용·보조금 자료 (PDF),https://www.pref.chiba.lg.jp/kenshidou/jinzai/documents/kaigo-siryou.pdf
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,10,오사카부 | 재류자격 「개호」 외국인 유학생 수용 가이드라인 (PDF),https://www.pref.osaka.lg.jp/documents/5835/24.pdf
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,11,오사카부 | 외국인 개호인재 수용사업자 지원 안내,https://www.pref.osaka.lg.jp/o090040/houjin/jinzai/ukeirejigyousya.html
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,12,출입국재류관리청 | 대여형 장학금 관련 참고자료 (PDF),https://www.moj.go.jp/isa/content/001417508.pdf
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,13,후생노동성 | 외국인 유학생 지원제도 활용 사례 (PDF),https://www.mhlw.go.jp/content/12000000/001240343.pdf
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,14,후생노동성 | 개호복지사 등 수학자금 대여제도 관련 통지,https://www.mhlw.go.jp/web/t_doc?dataId=00ta8389&dataType=1&pageNo=1
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,15,후생노동성 | 수학자금 대여제도 확충 관련 자료 (PDF),https://www.mhlw.go.jp/bunya/seikatsuhogo/fukusijinzai_kakuho02/dl/01.pdf
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,16,후생노동성 | 외국인 유학생 장학금 지원사업 관련 자료 (PDF),https://www.mhlw.go.jp/content/10200000/000889057.pdf
외국인 학생이 일본에서 금전적인 지원을 받는 방법,https://docs.google.com/document/d/1xBgvG-habXQkwXDJyIqW4AIdlGWjOjKljwuE5w2wXeE/edit,17,후생노동성 | 개호복지사 자격 경과조치 관련 통지 (PDF),https://guardianship.mhlw.go.jp/common/uploads/2026/05/notice20260508.pdf
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,1,출입국재류관리청 | 재류자격·신청 절차 안내,https://www.moj.go.jp/isa/applications/
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,2,トモハタ | 특정기능 인원·통계 해설,https://tomohata.jp/guide/tokutei-ginou-toukei
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,3,출입국재류관리청 | 재류자격 「특정기능」,https://www.moj.go.jp/isa/applications/status/specifiedskilledworker.html
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,4,후생노동성 | 개호 분야 특정기능 요건 안내,https://www.mhlw.go.jp/stf/newpage_000117702.html
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,5,출입국재류관리청 | 특정기능 개호 분야 안내,https://www.moj.go.jp/isa/policies/ssw/nursingcare.html
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,6,출입국재류관리청 | 개호 분야 고용·수용 요건 관련 자료 (PDF),https://www.moj.go.jp/isa/content/001457658.pdf
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,7,출입국재류관리청 | 육성취로 제도 Q&A,https://www.moj.go.jp/isa/applications/faq/ikusei_qa_00002.html
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,8,출입국재류관리청 | 개호 분야 육성취로·특정기능 정책 자료 (PDF),https://www.moj.go.jp/isa/content/001457667.pdf
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,9,トモハタ | 개호 특정기능 채용·국적·지역 통계 해설,https://tomohata.jp/guide/kaigo-saiyo
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,10,출입국재류관리청 | 특정기능 재류외국인 상세 통계,https://www.moj.go.jp/isa/applications/ssw/nyuukokukanri07_00215.html?lang=en
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,11,미쓰비시UFJ리서치&컨설팅 | 외국인 개호인재 관련 조사 자료 (PDF),https://www.murc.jp/wp-content/uploads/2026/04/koukai_260410_02.pdf
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,12,지바현 | 외국인 개호인재 제도·현황,https://www.pref.chiba.lg.jp/kenshidou/jinzai/gaikokujinkaigoshikumi.html
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,13,출입국재류관리청 | 특정기능 1호 이행을 위한 특정활동 안내,https://www.moj.go.jp/isa/policies/ssw/10_00025
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,14,출입국재류관리청 | 재류자격 「개호」,https://www.moj.go.jp/isa/applications/status/nursingcare
특정기능 1호 개호비자란,https://docs.google.com/document/d/1-AregAxcHI3ZEckKbM9ELyMzqWUT2FjJlb_qDLI2Dg4/edit,15,출입국재류관리청 | 재류자격 「개호」 인원 관련 자료 (PDF),https://www.moj.go.jp/isa/content/001442566.pdf
