출처번호,문서제목,요약문서,원문,동일내용주소번호
1,[출입국재류관리청] 육성취업 제도 Q&A,https://docs.google.com/document/d/1dqM_Q79XBV7Bu0rgRA1aTZcx6DIjMvAZvZRim5y6ye8/edit,https://www.moj.go.jp/isa/applications/faq/ikusei_qa_00002.html,
2,[외국인기능실습기구] 기능실습 제도의 기본이념,https://docs.google.com/document/d/1bDVJ17V0UYnhGpqsxl8rC3SAeXX2C_a-w0gzXVo999c/edit?tab=t.0,https://www.otit.go.jp/system/philosophy/,
3,[출입국재류관리청·후생노동성] 외국인 기능실습 제도 안내,https://docs.google.com/document/d/1SNXZ7IIlc3e6R2Odu0t_WUDaKc_Lv7lGiM_LpmT-jJE/edit?tab=t.0,https://www.moj.go.jp/isa/content/001451535.pdf,
4,[출입국재류관리청] 2025년 말 재류외국인 통계,https://docs.google.com/document/d/1DL6oOMarIRgygRsf2_uswK-tePZgFiv8lo0KGsz8bVY/edit?tab=t.0,https://www.moj.go.jp/isa/publications/press/13_00062.html,
5,[출입국재류관리청] 2025년 외국인 입국·일본인 출국 통계,https://docs.google.com/document/d/1lkz_Ax8HWlOGM-MuQoZpR8zjsQG6EDUSqMmeLCATTho/edit?tab=t.0,https://www.moj.go.jp/isa/publications/press/13_00063.html,
6,[후생노동성] 외국인 기능실습 제도 종합 안내,https://docs.google.com/document/d/1swHq88aYeBL_GezvJFKjHZ1zdvpEg5ucXiX_ghv8pvE/edit?tab=t.0,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/jinzaikaihatsu/global_cooperation/index.html,
7,[외국인기능실습기구] 송출기관의 정의와 송출국 인증 체계,https://docs.google.com/document/d/1EGpigykdTS7JkC6VrTI3asBfWGDwM8ARB_mUNQ7tC8s/edit?tab=t.0,https://www.otit.go.jp/system/sender/,
8,[출입국재류관리청·후생노동성] 기능실습 제도 운영요령 — 2026년 4월,https://docs.google.com/document/d/1YRWKmLpqNxlaIc5Od7LNkY8iGctArWlMq5ya54OCiD4/edit?tab=t.0,https://www.moj.go.jp/isa/content/930005219.pdf,
9,[출입국재류관리청] 재류자격 기능실습의 구분과 신청 절차,https://docs.google.com/document/d/1Fg70oHy7AmnSybC7bh73dVknLlsE_hSH3spUsFTkEqQ/edit?tab=t.0,https://www.moj.go.jp/isa/applications/status/technicalinterntraining,
10,[출입국재류관리청] 기능실습·특정기능 제도 현황 — 제1회 전문가회의,https://docs.google.com/document/d/1ldYWihyO9yQ7kky9DU4fzY7GVJbvCU31ni54bzCCMD8/edit?tab=t.0,https://www.moj.go.jp/isa/content/001385692.pdf,
11,[출입국재류관리청] 재류 절차와 제도별 안내 허브,https://docs.google.com/document/d/1FaWTk-2rIqXhWfTo71BHfucJ6a6uOo_LvhFPtBOvecQ/edit?tab=t.0,https://www.moj.go.jp/isa/applications/,
12,[출입국재류관리청] 재류 신청 후 지켜야 할 사항,https://docs.google.com/document/d/1vhpKjl_oxJfoJ9ZPQME7iio1OfSapgD80tp0_LnBD14/edit?tab=t.0,https://www.moj.go.jp/isa/11_00037.html,
