번호,출처명,출처 URL,인용 횟수,사용 문서·번호
1,출입국재류관리청 | 육성취로 제도 Q&A,https://www.moj.go.jp/isa/applications/faq/ikusei_qa_00002.html,3,기능실습 비자란 [1] / 특정기능 1호 개호비자란 [7] / 특정 기능 1호 공장 비자란 [16]
2,외국인기능실습기구(OTIT) | 기능실습 제도의 이념,https://www.otit.go.jp/system/philosophy/,1,기능실습 비자란 [2]
3,출입국재류관리청 | 기능실습 관련 통계·제도 자료 (PDF),https://www.moj.go.jp/isa/content/001451535.pdf,1,기능실습 비자란 [3]
4,출입국재류관리청 | 재류외국인 통계 관련 공표 자료,https://www.moj.go.jp/isa/publications/press/13_00062.html,2,기능실습 비자란 [4] / 일본 유학생 및 취업자 동향 [3]
5,출입국재류관리청 | 신규 입국자 통계 관련 공표 자료,https://www.moj.go.jp/isa/publications/press/13_00063.html,1,기능실습 비자란 [5]
6,후생노동성 | 기능실습·국제협력 관련 안내,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/jinzaikaihatsu/global_cooperation/index.html,1,기능실습 비자란 [6]
7,외국인기능실습기구(OTIT) | 송출기관 안내,https://www.otit.go.jp/system/sender/,1,기능실습 비자란 [7]
8,출입국재류관리청 | 기능실습계획 관련 자료 (PDF),https://www.moj.go.jp/isa/content/930005219.pdf,1,기능실습 비자란 [8]
9,출입국재류관리청 | 재류자격 「기능실습」,https://www.moj.go.jp/isa/applications/status/technicalinterntraining,1,기능실습 비자란 [9]
10,출입국재류관리청 | 기능실습 제도 안내 자료 (PDF),https://www.moj.go.jp/isa/content/001385692.pdf,1,기능실습 비자란 [10]
11,출입국재류관리청 | 재류자격·신청 절차 안내,https://www.moj.go.jp/isa/applications/,3,기능실습 비자란 [11] / 특정기능 1호 개호비자란 [1] / 특정 기능 1호 공장 비자란 [1]
12,출입국재류관리청 | 기능실습 2호 수료자 관련 안내,https://www.moj.go.jp/isa/11_00037.html,1,기능실습 비자란 [12]
13,출입국재류관리청 | 특정기능 제도 Q&A,https://www.moj.go.jp/isa/policies/ssw/faq.html,2,기능실습 비자란 [13] / 특정 기능 1호 공장 비자란 [9]
14,출입국재류관리청 | 특정기능 제도 안내,https://www.moj.go.jp/isa/policies/ssw/nyuukokukanri06_00103.html,1,기능실습 비자란 [14]
15,출입국재류관리청 | 재류자격 「기술·인문지식·국제업무」,https://www.moj.go.jp/isa/applications/status/gijinkoku,1,기능실습 비자란 [15]
