학교,방식,수신처,발신·회신,상태,기록시각UTC,확인근거,비고
大阪みなみ日本語学校,email,info@osaka-minami.com,lee_js@jeongwoohrd.com,이메일 발송 확인,2026-09-18T07:57:08.958Z,https://mail.google.com/mail/u/3/#sent/KtbxLvHcKSWlLmhWFMbHXMcPmWrXwjTkkg,
ヒューマンアカデミー日本語学校大阪校,email,ojp22@athuman.com,lee_js@jeongwoohrd.com,이메일 발송 확인,2026-09-18T07:57:41.168Z,https://mail.google.com/mail/u/3/#sent/KtbxLvHcKSWlLmhWFMbHXMcPmWrXwjTkkg,
エール学園 日本語教育学科,email,jls@ehle.ac.jp,lee_js@jeongwoohrd.com,이메일 발송 확인,2026-09-18T07:57:44.089Z,https://mail.google.com/mail/u/3/#sent/KtbxLrjRfwNbzRSCRpGsBbnNXHNxkkCGDB,
GK日本語学校,form,https://www.gk-jls.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,lee_js@jeongwoohrd.com,문의 폼 접수 확인,2026-09-18T08:11:52.679Z,送信ありがとうございました,メール送信が完了せず、再試行も送信中のためキャンセル操作を実施。送信済み一覧に記録なし。公式フォームで受付確認。
大阪日本語アカデミー,email,contact@oja.jp,lee_js@jeongwoohrd.com,이메일 발송 확인,2026-09-18T08:02:40.862Z,https://mail.google.com/mail/u/3/#sent/KtbxLxgNLzDgFtSwgMmLGkGHKRgdvDFBsB,
えびす日本語学校,email,info@iebisu.com,lee_js@jeongwoohrd.com,이메일 발송 확인,2026-09-18T08:02:42.863Z,https://mail.google.com/mail/u/3/#sent/KtbxLxgNLzDgFtSwgMmLGkGHKRgdvDFBsB,
ウェル日本語学院,form,https://japanese-school.wellgroup.jp/contact/,lee_js@jeongwoohrd.com,문의 폼 접수 확인,2026-09-18T08:11:52.679Z,ありがとうございます。メッセージは送信されました。,メール送信完了を確認できず、送信済み一覧にも記録なし。公式フォームで受付確認。
ループインターナショナル日本語学校,email,info@loop-ijlschool.com,lee_js@jeongwoohrd.com,이메일 발송 확인,2026-09-18T08:05:18.091Z,Gmailの「メッセージを送信しました」を確認,
J国際学院,email,info@jcom-ies.co.jp,lee_js@jeongwoohrd.com,이메일 발송 확인,2026-09-18T08:05:38.740Z,Gmailの「メッセージを送信しました」を確認,
ワン・パーパス国際学院,email,info@one-purpose.co.jp,lee_js@jeongwoohrd.com,이메일 발송 확인,2026-09-18T08:05:54.918Z,Gmailの「メッセージを送信しました」を確認,
大阪国際アカデミー南キャンパス,email,oksc@osaka-intlacademysouth.jp,lee_js@jeongwoohrd.com,이메일 발송 확인,2026-09-18T08:06:13.627Z,Gmailの「メッセージを送信しました」を確認,
大阪英才日本語学院,form,https://www.osakaeisai.com/contact/,lee_js@jeongwoohrd.com,문의 폼 접수 확인,2026-09-18T08:00:50.850Z,お問い合わせありがとうございます。追ってご連絡させていただきます。,
芦屋国際学院 大阪校,email,aisj@ashiya-intl.com,lee_js@jeongwoohrd.com,이메일 발송 확인,2026-09-18T08:06:30.326Z,Gmailの「メッセージを送信しました」を確認,
大阪国際アカデミー,form,https://www.osaka-intlacademy.jp/contact.html,lee_js@jeongwoohrd.com,문의 폼 접수 확인,2026-09-18T08:02:35.869Z,お問い合わせありがとうございます。当社担当者より、メールまたは電話でご連絡差し上げます。,
せいがん日本語学校,email,sjls2012@seigan-nihongo.com,lee_js@jeongwoohrd.com,이메일 발송 확인,2026-09-18T08:06:51.860Z,Gmailの「メッセージを送信しました」を確認,
